prod_name,prod_type,male,female,music,color,narration
Keytruda,Medication/Medical,3,2,Y,N,Y
iPhone X,Lifestyle,6,10,Y,Y,N
Papa Johns,Food,1,0,Y,Y,Y
Ford Expedition,Car,12,13,Y,Y,Y
Jif PB,Food,0,2,Y,Y,Y
Navy Federal Credit Union,Other,5,1,Y,Y,N
Good Girls,Movie/TV,1,4,Y,Y,Y
Universal Parks and Resorts,Other,8,8,Y,Y,Y
Toyota,Car,0,1,Y,Y,N
The Voice,Movie/TV,2,2,Y,Y,Y
NBC 12 News,Movie/TV,5,5,Y,Y,N
Priority Richmond,Car,1,1,Y,Y,Y
Swarovsky Diamonds,Lifestyle,1,1,Y,Y,Y
Hershey's,Food,2,0,Y,Y,N
Aveeno Lotion,Household,0,1,Y,Y,Y
Chevy Traverse,Car,7,3,Y,Y,Y
Genius Junior,Movie/TV,2,2,Y,Y,Y
Toyota,Car,3,3,Y,Y,N
Bridgestone Tires,Car,1,1,Y,Y,Y
Coca Cola,Food,0,0,Y,Y,N
Subway,Food,0,0,Y,Y,Y
Comcast,Movie/TV,8,11,Y,Y,Y
TGI Fridays,Food,1,0,Y,Y,Y
Google Home,Lifestyle,1,0,Y,Y,Y
McDonald's,Food,5,5,Y,Y,Y
Nissan,Car,1,0,Y,Y,N
RNR Tire,Car,3,3,Y,Y,Y
Fios,Movie/TV,2,3,Y,Y,Y
Haley Automotive Group,Car,1,0,Y,Y,Y
Longhorn Steakhouse,Food,0,0,Y,Y,Y
NBC News,Movie/TV,2,0,Y,Y,Y
Volkswagen,Car,2,3,Y,Y,N
Re-Bath,Household,1,4,Y,Y,Y
Kroger,Household,0,2,Y,Y,Y
Sheehy Ford,Car,0,0,Y,Y,Y
VCU Health,Medication/Medical,3,4,Y,Y,Y
Mattress Factory,Household,3,5,Y,Y,Y
Rise,Movie/TV,5,5,Y,Y,N
Exit Realty,Household,2,6,Y,Y,Y
Bassett Home Furnishings,Household,0,0,Y,Y,N
Hayley Automotives,Car,3,0,Y,Y,Y
Food Lion,Household,2,6,Y,Y,Y
Ford,Car,0,0,Y,Y,Y
Nissan,Car,1,0,Y,Y,Y
Green Front Furniture,Household,0,1,Y,Y,Y
Mercedes-Benz,Car,0,0,Y,Y,Y
Science Museum of VA,Lifestyle,4,4,Y,Y,Y
Hanover Roofing,Household,0,0,Y,Y,Y
Ford,Car,0,0,Y,Y,Y
NBC News,Movie/TV,1,0,Y,Y,Y
Dominion Eye,Medication/Medical,2,2,N,Y,Y
Hyundai,Car,4,1,Y,Y,Y
Comcast,Movie/TV,1,0,Y,Y,N
W. Hirsch Rugs,Household,0,0,Y,Y,Y
ECPI University,Lifestyle,6,6,Y,Y,Y
Re-Bath,Household,0,0,Y,Y,Y
Priority Richmond,Car,0,0,Y,Y,Y
Mitchell Homes,Household,3,5,Y,Y,N
"Allen, Allen, Allen, & Allen Law Firm",Other,5,2,Y,Y,Y
Richmond Boat Show,Lifestyle,3,3,N,Y,Y
Papa Johns,Food,1,0,Y,Y,Y
Swim N Pools,Household,1,1,Y,Y,Y
James River Air Conditioning,Household,2,0,Y,Y,Y
Medi Weightloss,Lifestyle,0,1,Y,Y,Y
Project Kudos,Other,4,6,N,Y,N
Boleman Law,Other,6,2,Y,Y,Y
Medi Weightloss,Lifestyle,2,0,Y,Y,N
Hanover Roofing,Household,0,0,Y,Y,Y
Green Front Furniture,Household,1,0,Y,Y,N
Quickbooks,Lifestyle,0,1,Y,Y,Y
Cosequin,Other,0,1,Y,Y,Y
